time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2018-01-07T09:00:00Z,10.58,-98.72,26.744
2018-01-07T09:00:00Z,10.58,-98.71,26.74
2018-01-07T09:00:00Z,10.59,-98.74,26.74
2018-01-07T09:00:00Z,10.59,-98.73,26.749
2018-01-07T09:00:00Z,10.59,-98.72,26.75
2018-01-07T09:00:00Z,10.59,-98.71,26.747
2018-01-07T09:00:00Z,10.6,-98.74,26.748
2018-01-07T09:00:00Z,10.6,-98.73,26.757
2018-01-07T09:00:00Z,10.6,-98.72,26.757
2018-01-07T09:00:00Z,10.6,-98.71,26.758
2018-01-07T09:00:00Z,10.61,-98.74,26.755
2018-01-07T09:00:00Z,10.61,-98.73,26.764
2018-01-07T09:00:00Z,10.61,-98.72,26.764
2018-01-07T09:00:00Z,10.61,-98.71,26.768
2018-01-08T09:00:00Z,10.58,-98.74,26.766
2018-01-08T09:00:00Z,10.58,-98.73,26.765
2018-01-08T09:00:00Z,10.58,-98.72,26.762
2018-01-08T09:00:00Z,10.58,-98.71,26.761
2018-01-08T09:00:00Z,10.59,-98.74,26.76
2018-01-08T09:00:00Z,10.59,-98.73,26.759
2018-01-08T09:00:00Z,10.59,-98.72,26.758
2018-01-08T09:00:00Z,10.59,-98.71,26.759
2018-01-08T09:00:00Z,10.6,-98.74,26.762
2018-01-08T09:00:00Z,10.6,-98.73,26.763
2018-01-08T09:00:00Z,10.6,-98.72,26.763
2018-01-08T09:00:00Z,10.6,-98.71,26.767
2018-01-08T09:00:00Z,10.61,-98.74,26.769
2018-01-08T09:00:00Z,10.61,-98.73,26.772
2018-01-08T09:00:00Z,10.61,-98.72,26.775
2018-01-08T09:00:00Z,10.61,-98.71,26.781
2018-01-09T09:00:00Z,10.58,-98.74,26.791
2018-01-09T09:00:00Z,10.58,-98.73,26.779
2018-01-09T09:00:00Z,10.58,-98.72,26.765
2018-01-09T09:00:00Z,10.58,-98.71,26.757
2018-01-09T09:00:00Z,10.59,-98.74,26.778
2018-01-09T09:00:00Z,10.59,-98.73,26.762
2018-01-09T09:00:00Z,10.59,-98.72,26.749
2018-01-09T09:00:00Z,10.59,-98.71,26.743
2018-01-09T09:00:00Z,10.6,-98.74,26.785
2018-01-09T09:00:00Z,10.6,-98.73,26.771
2018-01-09T09:00:00Z,10.6,-98.72,26.759
2018-01-09T09:00:00Z,10.6,-98.71,26.755
2018-01-09T09:00:00Z,10.61,-98.74,26.801
2018-01-09T09:00:00Z,10.61,-98.73,26.794
2018-01-09T09:00:00Z,10.61,-98.72,26.784
2018-01-09T09:00:00Z,10.61,-98.71,26.782
2018-01-10T09:00:00Z,10.58,-98.74,26.967
2018-01-10T09:00:00Z,10.58,-98.73,26.957
2018-01-10T09:00:00Z,10.58,-98.72,26.943
2018-01-10T09:00:00Z,10.58,-98.71,26.925
2018-01-10T09:00:00Z,10.59,-98.74,26.96
2018-01-10T09:00:00Z,10.59,-98.73,26.948
2018-01-10T09:00:00Z,10.59,-98.72,26.933
2018-01-10T09:00:00Z,10.59,-98.71,26.916
2018-01-10T09:00:00Z,10.6,-98.74,26.951
2018-01-10T09:00:00Z,10.6,-98.73,26.938
2018-01-10T09:00:00Z,10.6,-98.72,26.922
2018-01-10T09:00:00Z,10.6,-98.71,26.907
2018-01-10T09:00:00Z,10.61,-98.74,26.941
2018-01-10T09:00:00Z,10.61,-98.73,26.928
2018-01-10T09:00:00Z,10.61,-98.72,26.914
2018-01-10T09:00:00Z,10.61,-98.71,26.903
2018-01-11T09:00:00Z,10.58,-98.74,26.919
2018-01-11T09:00:00Z,10.58,-98.73,26.901
2018-01-11T09:00:00Z,10.58,-98.72,26.877
2018-01-11T09:00:00Z,10.58,-98.71,26.848
2018-01-11T09:00:00Z,10.59,-98.74,26.913
2018-01-11T09:00:00Z,10.59,-98.73,26.896
2018-01-11T09:00:00Z,10.59,-98.72,26.875
2018-01-11T09:00:00Z,10.59,-98.71,26.849
2018-01-11T09:00:00Z,10.6,-98.74,26.899
2018-01-11T09:00:00Z,10.6,-98.73,26.882
2018-01-11T09:00:00Z,10.6,-98.72,26.863
2018-01-11T09:00:00Z,10.6,-98.71,26.841
2018-01-11T09:00:00Z,10.61,-98.74,26.879
2018-01-11T09:00:00Z,10.61,-98.73,26.861
2018-01-11T09:00:00Z,10.61,-98.72,26.844
2018-01-11T09:00:00Z,10.61,-98.71,26.826999999999998
2018-01-12T09:00:00Z,10.58,-98.74,27.07
2018-01-12T09:00:00Z,10.58,-98.73,27.072
2018-01-12T09:00:00Z,10.58,-98.72,27.075
2018-01-12T09:00:00Z,10.58,-98.71,27.073999999999998
2018-01-12T09:00:00Z,10.59,-98.74,27.065
2018-01-12T09:00:00Z,10.59,-98.73,27.067
2018-01-12T09:00:00Z,10.59,-98.72,27.07
2018-01-12T09:00:00Z,10.59,-98.71,27.071
2018-01-12T09:00:00Z,10.6,-98.74,27.053
2018-01-12T09:00:00Z,10.6,-98.73,27.057
2018-01-12T09:00:00Z,10.6,-98.72,27.064
2018-01-12T09:00:00Z,10.6,-98.71,27.068
2018-01-12T09:00:00Z,10.61,-98.74,27.037
2018-01-12T09:00:00Z,10.61,-98.73,27.046
2018-01-12T09:00:00Z,10.61,-98.72,27.057
2018-01-12T09:00:00Z,10.61,-98.71,27.065
2018-01-13T09:00:00Z,10.58,-98.74,26.983
2018-01-13T09:00:00Z,10.58,-98.73,26.98
2018-01-13T09:00:00Z,10.58,-98.72,26.982
2018-01-13T09:00:00Z,10.58,-98.71,26.979
2018-01-13T09:00:00Z,10.59,-98.74,26.982
2018-01-13T09:00:00Z,10.59,-98.73,26.98
2018-01-13T09:00:00Z,10.59,-98.72,26.988
2018-01-13T09:00:00Z,10.59,-98.71,26.991
2018-01-13T09:00:00Z,10.6,-98.74,26.972
2018-01-13T09:00:00Z,10.6,-98.73,26.98
2018-01-13T09:00:00Z,10.6,-98.72,26.997
2018-01-13T09:00:00Z,10.6,-98.71,27.007
2018-01-13T09:00:00Z,10.61,-98.74,26.959
2018-01-13T09:00:00Z,10.61,-98.73,26.977
2018-01-13T09:00:00Z,10.61,-98.72,27.004
2018-01-13T09:00:00Z,10.61,-98.71,27.019
2018-01-14T09:00:00Z,10.58,-98.74,26.39
2018-01-14T09:00:00Z,10.58,-98.73,26.386
2018-01-14T09:00:00Z,10.58,-98.72,26.38
2018-01-14T09:00:00Z,10.58,-98.71,26.369
2018-01-14T09:00:00Z,10.59,-98.74,26.39
2018-01-14T09:00:00Z,10.59,-98.73,26.386
2018-01-14T09:00:00Z,10.59,-98.72,26.383
2018-01-14T09:00:00Z,10.59,-98.71,26.374
2018-01-14T09:00:00Z,10.6,-98.74,26.399
2018-01-14T09:00:00Z,10.6,-98.73,26.394
2018-01-14T09:00:00Z,10.6,-98.72,26.392
2018-01-14T09:00:00Z,10.6,-98.71,26.385
2018-01-14T09:00:00Z,10.61,-98.74,26.409
2018-01-14T09:00:00Z,10.61,-98.73,26.401
2018-01-14T09:00:00Z,10.61,-98.72,26.398
2018-01-14T09:00:00Z,10.61,-98.71,26.393
2018-01-15T09:00:00Z,10.58,-98.74,26.308
